Directory / platform,Category,Listing URL,Login owner (role — never store passwords here),Business name as listed,Address shown (or "hidden — service area"),Phone as listed,Website URL as listed,Categories used,Matches business.ts? (Y/N),Issues found,Action required,Status (To do / Submitted / Live / Fixed),Date checked,Checked by,Next review date,Notes
Google Business Profile,Core,,Owner: Big Cat Marketing (manager access only for staff),,,,https://bigcatmarketing.com.au/,,,,,,,,,
Apple Business Connect,Core,,,,,,,,,,,,,,,
Bing Places for Business,Core,,,,,,,,,,,,,,,
Facebook Page,Social,,,,,,,,,,,,,,,
Instagram,Social,,,,,,,,,,,,,,,
LinkedIn Company Page,Social,,,,,,,,,,,,,,,
Yellow Pages (yellowpages.com.au),AU directory,,,,,,,,,,,,,,,
True Local,AU directory,,,,,,,,,,,,,,,
Hotfrog Australia,AU directory,,,,,,,,,,,,,,,
StartLocal,AU directory,,,,,,,,,,,,,,,
Yelp Australia,AU directory,,,,,,,,,,,,,,,
Clutch,Industry (agency),,,,,,,,,,,,,,,
ABN Lookup (abr.business.gov.au),Government record,,,,,,,,,,,,,,,
Local chamber of commerce / trader association,Local (verify membership before listing),,,,,,,,,,,,,,,
